concept,window,window_start,window_end,prompt_id,seed,clap_steered,clap_unsteered
piano,0.0-0.2,0.0,0.2,0,,0.3400334979863075,0.3952165442055589
piano,0.0-0.2,0.0,0.2,1,,0.4524146244831112,0.4699243242194715
piano,0.0-0.2,0.0,0.2,2,,0.20310924464661884,0.14047047539793941
piano,0.0-0.2,0.0,0.2,3,,0.469873632262247,0.4457611662730486
piano,0.0-0.2,0.0,0.2,4,,0.3110816149597863,0.35955476401309494
piano,0.0-0.2,0.0,0.2,5,,-0.04937704603170791,-0.002054871039405456
piano,0.0-0.2,0.0,0.2,6,,0.3532615987810931,0.42681189072231224
piano,0.0-0.2,0.0,0.2,7,,0.4622197380466541,0.46259098782480423
piano,0.0-0.2,0.0,0.2,8,,0.33636711716259,0.31977374947813847
piano,0.0-0.2,0.0,0.2,9,,0.23187950021607134,0.25401559218068454
piano,0.2-0.4,0.2,0.4,0,,0.36530035368876285,0.3952165442055589
piano,0.2-0.4,0.2,0.4,1,,0.4620303442784855,0.4699243242194715
piano,0.2-0.4,0.2,0.4,2,,0.16661573282851286,0.14047047539793941
piano,0.2-0.4,0.2,0.4,3,,0.430477138029213,0.4457611662730486
piano,0.2-0.4,0.2,0.4,4,,0.3702354018759852,0.35955476401309494
piano,0.2-0.4,0.2,0.4,5,,-0.06720525704174214,-0.002054871039405456
piano,0.2-0.4,0.2,0.4,6,,0.42112334671441154,0.42681189072231224
piano,0.2-0.4,0.2,0.4,7,,0.45283472085159665,0.46259098782480423
piano,0.2-0.4,0.2,0.4,8,,0.373257558577829,0.31977374947813847
piano,0.2-0.4,0.2,0.4,9,,0.23980973360397437,0.25401559218068454
piano,0.4-0.6,0.4,0.6,0,,0.3514787133044225,0.3952165442055589
piano,0.4-0.6,0.4,0.6,1,,0.4452261582197813,0.4699243242194715
piano,0.4-0.6,0.4,0.6,2,,0.15150157368682785,0.14047047539793941
piano,0.4-0.6,0.4,0.6,3,,0.4550022437371785,0.4457611662730486
piano,0.4-0.6,0.4,0.6,4,,0.3575002515328771,0.35955476401309494
piano,0.4-0.6,0.4,0.6,5,,-0.030296472472761144,-0.002054871039405456
piano,0.4-0.6,0.4,0.6,6,,0.4536925779328104,0.42681189072231224
piano,0.4-0.6,0.4,0.6,7,,0.4418905000539765,0.46259098782480423
piano,0.4-0.6,0.4,0.6,8,,0.29723314925227773,0.31977374947813847
piano,0.4-0.6,0.4,0.6,9,,0.18901384450891184,0.25401559218068454
piano,0.6-0.8,0.6,0.8,0,,0.37214433774736766,0.3952165442055589
piano,0.6-0.8,0.6,0.8,1,,0.4733475697389517,0.4699243242194715
piano,0.6-0.8,0.6,0.8,2,,0.1956099219794287,0.14047047539793941
piano,0.6-0.8,0.6,0.8,3,,0.45532959244301147,0.4457611662730486
piano,0.6-0.8,0.6,0.8,4,,0.3425849343850485,0.35955476401309494
piano,0.6-0.8,0.6,0.8,5,,-0.04341695300536138,-0.002054871039405456
piano,0.6-0.8,0.6,0.8,6,,0.3394883145410792,0.42681189072231224
piano,0.6-0.8,0.6,0.8,7,,0.47288593015365815,0.46259098782480423
piano,0.6-0.8,0.6,0.8,8,,0.3378149438583255,0.31977374947813847
piano,0.6-0.8,0.6,0.8,9,,0.1946434061136398,0.25401559218068454
piano,0.8-1.0,0.8,1.0,0,,0.3800536284620291,0.3952165442055589
piano,0.8-1.0,0.8,1.0,1,,0.38982715812908747,0.4699243242194715
piano,0.8-1.0,0.8,1.0,2,,0.15008070319302913,0.14047047539793941
piano,0.8-1.0,0.8,1.0,3,,0.4706059647229565,0.4457611662730486
piano,0.8-1.0,0.8,1.0,4,,0.33117997315151815,0.35955476401309494
piano,0.8-1.0,0.8,1.0,5,,-0.023951584233736455,-0.002054871039405456
piano,0.8-1.0,0.8,1.0,6,,0.4228568882890507,0.42681189072231224
piano,0.8-1.0,0.8,1.0,7,,0.43666415969967315,0.46259098782480423
piano,0.8-1.0,0.8,1.0,8,,0.3016635508964274,0.31977374947813847
piano,0.8-1.0,0.8,1.0,9,,0.25881409386266474,0.25401559218068454
tempo,0.0-0.2,0.0,0.2,0,,0.3141563503320998,0.4002883632857275
tempo,0.0-0.2,0.0,0.2,1,,0.45267396712624497,0.4303505973696203
tempo,0.0-0.2,0.0,0.2,2,,0.12017468185349689,0.18613789408857448
tempo,0.0-0.2,0.0,0.2,3,,0.4649836672537736,0.4497581079329915
tempo,0.0-0.2,0.0,0.2,4,,0.38551976891282297,0.3525804842023141
tempo,0.0-0.2,0.0,0.2,5,,-0.012371569748186768,-0.011784460277729968
tempo,0.0-0.2,0.0,0.2,6,,0.3610258877549049,0.39212260952341327
tempo,0.0-0.2,0.0,0.2,7,,0.4628855837786607,0.44937866476814575
tempo,0.0-0.2,0.0,0.2,8,,0.3215838234204656,0.34859140456363386
tempo,0.0-0.2,0.0,0.2,9,,0.25111934291536603,0.1981445233080903
tempo,0.2-0.4,0.2,0.4,0,,0.36120640870330456,0.4002883632857275
tempo,0.2-0.4,0.2,0.4,1,,0.43328493002604135,0.4303505973696203
tempo,0.2-0.4,0.2,0.4,2,,0.174660850764422,0.18613789408857448
tempo,0.2-0.4,0.2,0.4,3,,0.46433799994570085,0.4497581079329915
tempo,0.2-0.4,0.2,0.4,4,,0.34849708923887557,0.3525804842023141
tempo,0.2-0.4,0.2,0.4,5,,-0.031441066099707156,-0.011784460277729968
tempo,0.2-0.4,0.2,0.4,6,,0.391317767917115,0.39212260952341327
tempo,0.2-0.4,0.2,0.4,7,,0.44815670995782503,0.44937866476814575
tempo,0.2-0.4,0.2,0.4,8,,0.3244842451837553,0.34859140456363386
tempo,0.2-0.4,0.2,0.4,9,,0.2205661793685743,0.1981445233080903
tempo,0.4-0.6,0.4,0.6,0,,0.3657721760514848,0.4002883632857275
tempo,0.4-0.6,0.4,0.6,1,,0.44979962256766237,0.4303505973696203
tempo,0.4-0.6,0.4,0.6,2,,0.13311711614035188,0.18613789408857448
tempo,0.4-0.6,0.4,0.6,3,,0.4545229329910103,0.4497581079329915
tempo,0.4-0.6,0.4,0.6,4,,0.33873977918439485,0.3525804842023141
tempo,0.4-0.6,0.4,0.6,5,,-0.02203220479509887,-0.011784460277729968
tempo,0.4-0.6,0.4,0.6,6,,0.4218487902237831,0.39212260952341327
tempo,0.4-0.6,0.4,0.6,7,,0.4391189137367597,0.44937866476814575
tempo,0.4-0.6,0.4,0.6,8,,0.3070886287431542,0.34859140456363386
tempo,0.4-0.6,0.4,0.6,9,,0.2641503188421089,0.1981445233080903
tempo,0.6-0.8,0.6,0.8,0,,0.3345456885348699,0.4002883632857275
tempo,0.6-0.8,0.6,0.8,1,,0.4447861931207701,0.4303505973696203
tempo,0.6-0.8,0.6,0.8,2,,0.04416940580362136,0.18613789408857448
tempo,0.6-0.8,0.6,0.8,3,,0.4232335644360299,0.4497581079329915
tempo,0.6-0.8,0.6,0.8,4,,0.35841335644016104,0.3525804842023141
tempo,0.6-0.8,0.6,0.8,5,,-0.031078856127609803,-0.011784460277729968
tempo,0.6-0.8,0.6,0.8,6,,0.38078103647694683,0.39212260952341327
tempo,0.6-0.8,0.6,0.8,7,,0.4475206091951431,0.44937866476814575
tempo,0.6-0.8,0.6,0.8,8,,0.34398970784351346,0.34859140456363386
tempo,0.6-0.8,0.6,0.8,9,,0.21810439010907146,0.1981445233080903
tempo,0.8-1.0,0.8,1.0,0,,0.3757309503968809,0.4002883632857275
tempo,0.8-1.0,0.8,1.0,1,,0.46726655297709907,0.4303505973696203
tempo,0.8-1.0,0.8,1.0,2,,0.10985714742101291,0.18613789408857448
tempo,0.8-1.0,0.8,1.0,3,,0.4685747576586128,0.4497581079329915
tempo,0.8-1.0,0.8,1.0,4,,0.39567558940006736,0.3525804842023141
tempo,0.8-1.0,0.8,1.0,5,,-0.045559848124752875,-0.011784460277729968
tempo,0.8-1.0,0.8,1.0,6,,0.43844502358950105,0.39212260952341327
tempo,0.8-1.0,0.8,1.0,7,,0.43590333621904587,0.44937866476814575
tempo,0.8-1.0,0.8,1.0,8,,0.33084936591041403,0.34859140456363386
tempo,0.8-1.0,0.8,1.0,9,,0.18597595207681733,0.1981445233080903
mood,0.0-0.2,0.0,0.2,0,,0.388951344051807,0.38302274458182994
mood,0.0-0.2,0.0,0.2,1,,0.42679702808829195,0.4484496041066793
mood,0.0-0.2,0.0,0.2,2,,0.1528980898943029,0.16408489946370844
mood,0.0-0.2,0.0,0.2,3,,0.4616587115851951,0.4640853060567025
mood,0.0-0.2,0.0,0.2,4,,0.4051883180153776,0.3709540551136906
mood,0.0-0.2,0.0,0.2,5,,-0.019208652706582716,-0.03932798614513033
mood,0.0-0.2,0.0,0.2,6,,0.4255044969389849,0.4279935870282756
mood,0.0-0.2,0.0,0.2,7,,0.43442797226399665,0.47004755682865756
mood,0.0-0.2,0.0,0.2,8,,0.33569462772455305,0.35197396832242817
mood,0.0-0.2,0.0,0.2,9,,0.19198204384987105,0.22854046167121736
mood,0.2-0.4,0.2,0.4,0,,0.3711858950689638,0.38302274458182994
mood,0.2-0.4,0.2,0.4,1,,0.42876573543732055,0.4484496041066793
mood,0.2-0.4,0.2,0.4,2,,0.14888044440164866,0.16408489946370844
mood,0.2-0.4,0.2,0.4,3,,0.45011758354203707,0.4640853060567025
mood,0.2-0.4,0.2,0.4,4,,0.3816053233133108,0.3709540551136906
mood,0.2-0.4,0.2,0.4,5,,-0.04536943464805317,-0.03932798614513033
mood,0.2-0.4,0.2,0.4,6,,0.4274920139176103,0.4279935870282756
mood,0.2-0.4,0.2,0.4,7,,0.4460961741956267,0.47004755682865756
mood,0.2-0.4,0.2,0.4,8,,0.33078415842579517,0.35197396832242817
mood,0.2-0.4,0.2,0.4,9,,0.22894802335124723,0.22854046167121736
mood,0.4-0.6,0.4,0.6,0,,0.3856555780945856,0.38302274458182994
mood,0.4-0.6,0.4,0.6,1,,0.41310833953620557,0.4484496041066793
mood,0.4-0.6,0.4,0.6,2,,0.06160689450925426,0.16408489946370844
mood,0.4-0.6,0.4,0.6,3,,0.4603190078002981,0.4640853060567025
mood,0.4-0.6,0.4,0.6,4,,0.372090276335097,0.3709540551136906
mood,0.4-0.6,0.4,0.6,5,,-0.02018364498697199,-0.03932798614513033
mood,0.4-0.6,0.4,0.6,6,,0.4252913805210189,0.4279935870282756
mood,0.4-0.6,0.4,0.6,7,,0.4572071659863312,0.47004755682865756
mood,0.4-0.6,0.4,0.6,8,,0.33540378684594446,0.35197396832242817
mood,0.4-0.6,0.4,0.6,9,,0.23590071179408667,0.22854046167121736
mood,0.6-0.8,0.6,0.8,0,,0.40941729732222415,0.38302274458182994
mood,0.6-0.8,0.6,0.8,1,,0.4764347028772546,0.4484496041066793
mood,0.6-0.8,0.6,0.8,2,,0.1220748336073205,0.16408489946370844
mood,0.6-0.8,0.6,0.8,3,,0.47386502745739467,0.4640853060567025
mood,0.6-0.8,0.6,0.8,4,,0.34875925125164736,0.3709540551136906
mood,0.6-0.8,0.6,0.8,5,,-0.03493126655046776,-0.03932798614513033
mood,0.6-0.8,0.6,0.8,6,,0.44234358134712126,0.4279935870282756
mood,0.6-0.8,0.6,0.8,7,,0.4730628649448723,0.47004755682865756
mood,0.6-0.8,0.6,0.8,8,,0.317022100915588,0.35197396832242817
mood,0.6-0.8,0.6,0.8,9,,0.18741261771663312,0.22854046167121736
mood,0.8-1.0,0.8,1.0,0,,0.38469606253258654,0.38302274458182994
mood,0.8-1.0,0.8,1.0,1,,0.43869119443892424,0.4484496041066793
mood,0.8-1.0,0.8,1.0,2,,0.16573742351941595,0.16408489946370844
mood,0.8-1.0,0.8,1.0,3,,0.47170182590851584,0.4640853060567025
mood,0.8-1.0,0.8,1.0,4,,0.3815923891055239,0.3709540551136906
mood,0.8-1.0,0.8,1.0,5,,-0.0018560038693913356,-0.03932798614513033
mood,0.8-1.0,0.8,1.0,6,,0.4216371983825096,0.4279935870282756
mood,0.8-1.0,0.8,1.0,7,,0.442382808076172,0.47004755682865756
mood,0.8-1.0,0.8,1.0,8,,0.34669427803329406,0.35197396832242817
mood,0.8-1.0,0.8,1.0,9,,0.2550312553175006,0.22854046167121736
drums,0.0-0.2,0.0,0.2,0,,0.3744263611544181,0.3682784997351838
drums,0.0-0.2,0.0,0.2,1,,0.45334198339485043,0.4569607331356234
drums,0.0-0.2,0.0,0.2,2,,0.14351398464657864,0.08604136536157247
drums,0.0-0.2,0.0,0.2,3,,0.46258815660420577,0.43608855384141415
drums,0.0-0.2,0.0,0.2,4,,0.35689717174307056,0.3713902197892106
drums,0.0-0.2,0.0,0.2,5,,-0.05180138670260725,-0.015106987118810053
drums,0.0-0.2,0.0,0.2,6,,0.4027827283863425,0.41928170729992487
drums,0.0-0.2,0.0,0.2,7,,0.4453322842887426,0.46482827584999986
drums,0.0-0.2,0.0,0.2,8,,0.2911830986935306,0.3728953411119714
drums,0.0-0.2,0.0,0.2,9,,0.21398952389350626,0.250588578495192
drums,0.2-0.4,0.2,0.4,0,,0.37532698732796793,0.3682784997351838
drums,0.2-0.4,0.2,0.4,1,,0.4546485497786183,0.4569607331356234
drums,0.2-0.4,0.2,0.4,2,,0.11802971948549858,0.08604136536157247
drums,0.2-0.4,0.2,0.4,3,,0.49354022170770967,0.43608855384141415
drums,0.2-0.4,0.2,0.4,4,,0.35542480920519953,0.3713902197892106
drums,0.2-0.4,0.2,0.4,5,,-0.07622663600512103,-0.015106987118810053
drums,0.2-0.4,0.2,0.4,6,,0.37093259744050705,0.41928170729992487
drums,0.2-0.4,0.2,0.4,7,,0.44477015288948724,0.46482827584999986
drums,0.2-0.4,0.2,0.4,8,,0.29853142788685355,0.3728953411119714
drums,0.2-0.4,0.2,0.4,9,,0.21536656998798165,0.250588578495192
drums,0.4-0.6,0.4,0.6,0,,0.3759040422938948,0.3682784997351838
drums,0.4-0.6,0.4,0.6,1,,0.45343872173811955,0.4569607331356234
drums,0.4-0.6,0.4,0.6,2,,0.059526371928423874,0.08604136536157247
drums,0.4-0.6,0.4,0.6,3,,0.43352591557898645,0.43608855384141415
drums,0.4-0.6,0.4,0.6,4,,0.35585942508558605,0.3713902197892106
drums,0.4-0.6,0.4,0.6,5,,-0.01766959746393761,-0.015106987118810053
drums,0.4-0.6,0.4,0.6,6,,0.4452485332367872,0.41928170729992487
drums,0.4-0.6,0.4,0.6,7,,0.4507521047816483,0.46482827584999986
drums,0.4-0.6,0.4,0.6,8,,0.27353133127930096,0.3728953411119714
drums,0.4-0.6,0.4,0.6,9,,0.2502526019820321,0.250588578495192
drums,0.6-0.8,0.6,0.8,0,,0.3488585318011791,0.3682784997351838
drums,0.6-0.8,0.6,0.8,1,,0.4141767579622669,0.4569607331356234
drums,0.6-0.8,0.6,0.8,2,,0.20563022322244623,0.08604136536157247
drums,0.6-0.8,0.6,0.8,3,,0.43899559535674815,0.43608855384141415
drums,0.6-0.8,0.6,0.8,4,,0.4058638174478621,0.3713902197892106
drums,0.6-0.8,0.6,0.8,5,,-0.03571555355238464,-0.015106987118810053
drums,0.6-0.8,0.6,0.8,6,,0.4280651126055541,0.41928170729992487
drums,0.6-0.8,0.6,0.8,7,,0.45701488395486034,0.46482827584999986
drums,0.6-0.8,0.6,0.8,8,,0.2740650312950938,0.3728953411119714
drums,0.6-0.8,0.6,0.8,9,,0.25630452972645973,0.250588578495192
drums,0.8-1.0,0.8,1.0,0,,0.38486620398939647,0.3682784997351838
drums,0.8-1.0,0.8,1.0,1,,0.4364332215058003,0.4569607331356234
drums,0.8-1.0,0.8,1.0,2,,0.04612376769694588,0.08604136536157247
drums,0.8-1.0,0.8,1.0,3,,0.4576157583728323,0.43608855384141415
drums,0.8-1.0,0.8,1.0,4,,0.3966460486324928,0.3713902197892106
drums,0.8-1.0,0.8,1.0,5,,-0.03981215704278859,-0.015106987118810053
drums,0.8-1.0,0.8,1.0,6,,0.4419553797130329,0.41928170729992487
drums,0.8-1.0,0.8,1.0,7,,0.4481189206134153,0.46482827584999986
drums,0.8-1.0,0.8,1.0,8,,0.3636474708488595,0.3728953411119714
drums,0.8-1.0,0.8,1.0,9,,0.22764482866570565,0.250588578495192
jazz,0.0-0.2,0.0,0.2,0,,0.32887904487265923,0.3733274899343277
jazz,0.0-0.2,0.0,0.2,1,,0.40815776178374835,0.39511938862975565
jazz,0.0-0.2,0.0,0.2,2,,0.171472995618021,0.14451889781901525
jazz,0.0-0.2,0.0,0.2,3,,0.47998392340566004,0.46770521530700243
jazz,0.0-0.2,0.0,0.2,4,,0.35860806344959445,0.373888935880175
jazz,0.0-0.2,0.0,0.2,5,,-0.03616123080816167,-0.015703742240017145
jazz,0.0-0.2,0.0,0.2,6,,0.4276048157134433,0.397107912754546
jazz,0.0-0.2,0.0,0.2,7,,0.4499729230706138,0.44499617370021527
jazz,0.0-0.2,0.0,0.2,8,,0.3342838453173829,0.3344121940564711
jazz,0.0-0.2,0.0,0.2,9,,0.2510808085129041,0.21127049413649399
jazz,0.2-0.4,0.2,0.4,0,,0.3381287325263109,0.3733274899343277
jazz,0.2-0.4,0.2,0.4,1,,0.41247307841768865,0.39511938862975565
jazz,0.2-0.4,0.2,0.4,2,,0.16007235904270603,0.14451889781901525
jazz,0.2-0.4,0.2,0.4,3,,0.4578062250133074,0.46770521530700243
jazz,0.2-0.4,0.2,0.4,4,,0.3986430426310775,0.373888935880175
jazz,0.2-0.4,0.2,0.4,5,,-0.06425230523780329,-0.015703742240017145
jazz,0.2-0.4,0.2,0.4,6,,0.3952894108874114,0.397107912754546
jazz,0.2-0.4,0.2,0.4,7,,0.4483307555188287,0.44499617370021527
jazz,0.2-0.4,0.2,0.4,8,,0.3004174858589936,0.3344121940564711
jazz,0.2-0.4,0.2,0.4,9,,0.1931506491151659,0.21127049413649399
jazz,0.4-0.6,0.4,0.6,0,,0.34942751773451514,0.3733274899343277
jazz,0.4-0.6,0.4,0.6,1,,0.41268261854430116,0.39511938862975565
jazz,0.4-0.6,0.4,0.6,2,,0.1475217117531106,0.14451889781901525
jazz,0.4-0.6,0.4,0.6,3,,0.4692981792250175,0.46770521530700243
jazz,0.4-0.6,0.4,0.6,4,,0.33768129011073594,0.373888935880175
jazz,0.4-0.6,0.4,0.6,5,,-0.026519920411747437,-0.015703742240017145
jazz,0.4-0.6,0.4,0.6,6,,0.39992912607384634,0.397107912754546
jazz,0.4-0.6,0.4,0.6,7,,0.4664823366246969,0.44499617370021527
jazz,0.4-0.6,0.4,0.6,8,,0.34100266002368373,0.3344121940564711
jazz,0.4-0.6,0.4,0.6,9,,0.22491585983427648,0.21127049413649399
jazz,0.6-0.8,0.6,0.8,0,,0.38250547264970725,0.3733274899343277
jazz,0.6-0.8,0.6,0.8,1,,0.4544222309446693,0.39511938862975565
jazz,0.6-0.8,0.6,0.8,2,,0.1600812603964854,0.14451889781901525
jazz,0.6-0.8,0.6,0.8,3,,0.44919281748759454,0.46770521530700243
jazz,0.6-0.8,0.6,0.8,4,,0.37954479076403086,0.373888935880175
jazz,0.6-0.8,0.6,0.8,5,,-0.02518459570555246,-0.015703742240017145
jazz,0.6-0.8,0.6,0.8,6,,0.4506706491548604,0.397107912754546
jazz,0.6-0.8,0.6,0.8,7,,0.46609290968195116,0.44499617370021527
jazz,0.6-0.8,0.6,0.8,8,,0.28590311038115784,0.3344121940564711
jazz,0.6-0.8,0.6,0.8,9,,0.17332712675617098,0.21127049413649399
jazz,0.8-1.0,0.8,1.0,0,,0.37667113165885635,0.3733274899343277
jazz,0.8-1.0,0.8,1.0,1,,0.4152023104156805,0.39511938862975565
jazz,0.8-1.0,0.8,1.0,2,,0.12889373941832533,0.14451889781901525
jazz,0.8-1.0,0.8,1.0,3,,0.4769657504545704,0.46770521530700243
jazz,0.8-1.0,0.8,1.0,4,,0.37204014882934217,0.373888935880175
jazz,0.8-1.0,0.8,1.0,5,,-0.03577813470348269,-0.015703742240017145
jazz,0.8-1.0,0.8,1.0,6,,0.43004088329868784,0.397107912754546
jazz,0.8-1.0,0.8,1.0,7,,0.4634081078918589,0.44499617370021527
jazz,0.8-1.0,0.8,1.0,8,,0.33956213489729536,0.3344121940564711
jazz,0.8-1.0,0.8,1.0,9,,0.22015228647378537,0.21127049413649399
